Obs,Shark_ID,lon,lat,Month,Day,Year,Season
173,19802,-72.52247664,39.28949499,7,3,2019,Warm
174,19802,-72.65348783,39.12895617,7,4,2019,Warm
175,19802,-72.71804501,39.01141973,7,5,2019,Warm
176,19802,-72.90137565,38.81923026,7,6,2019,Warm
177,19802,-73.10836166,38.63644562,7,7,2019,Warm
178,19802,-73.25442658,38.53842636,7,8,2019,Warm
179,19802,-73.25093952,38.60861372,7,9,2019,Warm
180,19802,-73.22414921,38.70490138,7,10,2019,Warm
181,19802,-72.54182302,40.31333721,7,20,2019,Warm
182,19802,-72.54396071,40.32626363,7,21,2019,Warm
183,19802,-72.54061188,40.36008417,7,22,2019,Warm
184,19802,-72.52306318,40.39652725,7,23,2019,Warm
185,19802,-72.48239148,40.42284335,7,24,2019,Warm
186,19802,-72.40967362,40.42629986,7,25,2019,Warm
187,19802,-72.30372954,40.40060009,7,26,2019,Warm
188,19802,-72.1426582,40.32677225,7,27,2019,Warm
189,19802,-71.94249214,40.23430448,7,28,2019,Warm
190,19802,-71.70972515,40.14375353,7,29,2019,Warm
191,19802,-71.45269882,40.07559205,7,30,2019,Warm
192,19802,-71.16326211,40.03237129,7,31,2019,Warm
193,19802,-70.85007037,40.01044735,8,1,2019,Warm
194,19802,-70.5234293,40.0052413,8,2,2019,Warm
195,19802,-70.1927001,40.0128794,8,3,2019,Warm
196,19802,-69.86724395,40.02948061,8,4,2019,Warm
197,19802,-69.55642205,40.05116291,8,5,2019,Warm
198,19802,-69.26959559,40.07404729,8,6,2019,Warm
199,19802,-69.01612576,40.09425957,8,7,2019,Warm
200,19802,-68.80537375,40.10792996,8,8,2019,Warm
201,19802,-68.63280424,40.11308851,8,9,2019,Warm
202,19802,-68.52512926,40.10102312,8,10,2019,Warm
203,19802,-68.46686139,40.08066078,8,11,2019,Warm
204,19802,-68.45646694,40.05694243,8,12,2019,Warm
205,19802,-68.49241223,40.03481457,8,13,2019,Warm
206,19802,-68.57316355,40.01922996,8,14,2019,Warm
207,19802,-68.69485873,40.01454207,8,15,2019,Warm
208,19802,-68.85861362,40.02653293,8,16,2019,Warm
209,19802,-69.01285619,40.04254635,8,17,2019,Warm
210,19802,-69.16108323,40.06373101,8,18,2019,Warm
211,19802,-69.3109622,40.08928613,8,19,2019,Warm
212,19802,-69.46527862,40.12057387,8,20,2019,Warm
213,19802,-69.6206096,40.15211705,8,21,2019,Warm
214,19802,-69.77464339,40.179977,8,22,2019,Warm
215,19802,-69.92506827,40.20022111,8,23,2019,Warm
216,19802,-70.06957251,40.20891964,8,24,2019,Warm
217,19802,-70.20584437,40.20214004,8,25,2019,Warm
218,19802,-70.33342057,40.18117519,8,26,2019,Warm
219,19802,-70.43666167,40.13851291,8,27,2019,Warm
220,19802,-70.51403191,40.08746018,8,28,2019,Warm
221,19802,-70.5505218,40.02728398,8,29,2019,Warm
222,19802,-70.55492832,39.96176931,8,30,2019,Warm
223,19802,-70.5370027,39.89441936,8,31,2019,Warm
224,19802,-70.51121516,39.82637819,9,1,2019,Warm
225,34203,-80.01949527,26.0202168,11,14,2010,Cold
226,34203,-79.85711804,25.9943164,11,15,2010,Cold
227,34203,-79.75560914,26.02849109,11,16,2010,Cold
228,34203,-79.80967322,26.17131345,11,17,2010,Cold
229,34203,-79.89511067,27.08318855,11,23,2010,Cold
230,34203,-79.66806911,27.11586132,11,24,2010,Cold
231,34203,-79.47667352,27.17076695,11,25,2010,Cold
232,34203,-79.37019057,27.27475345,11,26,2010,Cold
233,34203,-79.39788693,27.45451852,11,27,2010,Cold
234,34203,-79.57127207,27.71526777,11,28,2010,Cold
235,34203,-79.89664181,28.05665937,11,29,2010,Cold
236,34203,-80.09923191,28.32142486,11,30,2010,Cold
237,34203,-79.98471415,28.39031752,12,1,2010,Cold
238,34203,-80.14860094,28.57648414,12,2,2010,Cold
239,34203,-80.2898977,28.74482282,12,3,2010,Cold
240,34203,-80.04342634,28.63419454,12,4,2010,Cold
241,34203,-79.88547887,28.71562821,12,5,2010,Cold
242,34203,-79.88461202,29.07070453,12,6,2010,Cold
243,34203,-79.7867755,29.53920094,12,7,2010,Cold
244,34203,-79.78116531,29.98860343,12,8,2010,Cold
245,34203,-79.53566489,30.13671818,12,9,2010,Cold
246,34203,-79.57436656,30.40239285,12,10,2010,Cold
247,34203,-79.60876295,30.65716264,12,11,2010,Cold
248,34203,-79.41811162,30.75254473,12,12,2010,Cold
249,34203,-79.22844047,30.76797673,12,13,2010,Cold
250,34203,-79.24808674,30.81045027,12,14,2010,Cold
251,34203,-79.54297585,30.96776316,12,15,2010,Cold
252,34203,-79.80014855,31.10584992,12,16,2010,Cold
253,34203,-79.98972589,31.20988787,12,17,2010,Cold
254,34203,-80.05890324,31.25022627,12,18,2010,Cold
255,34203,-79.94014218,31.18983911,12,19,2010,Cold
256,34203,-79.6999716,31.06428419,12,20,2010,Cold
